ppl: 2.846122980117798
nlls:tensor(1.2230, device='cuda:0')
tensor(1.1866, device='cuda:0')
tensor(1.4212, device='cuda:0')
tensor(1.3703, device='cuda:0')
tensor(1.4791, device='cuda:0')
tensor(0.9871, device='cuda:0')
tensor(1.0888, device='cuda:0')
tensor(1.0501, device='cuda:0')
tensor(1.0868, device='cuda:0')
tensor(1.2913, device='cuda:0')
tensor(0.9283, device='cuda:0')
tensor(1.0085, device='cuda:0')
tensor(1.0855, device='cuda:0')
tensor(0.9685, device='cuda:0')
tensor(1.1839, device='cuda:0')
tensor(0.9500, device='cuda:0')
tensor(0.9754, device='cuda:0')
tensor(1.0752, device='cuda:0')
tensor(1.2189, device='cuda:0')
tensor(1.3503, device='cuda:0')
tensor(1.2326, device='cuda:0')
tensor(1.2321, device='cuda:0')
tensor(1.1496, device='cuda:0')
tensor(1.0297, device='cuda:0')
tensor(1.0976, device='cuda:0')
tensor(1.1051, device='cuda:0')
tensor(0.7909, device='cuda:0')
tensor(0.7393, device='cuda:0')
tensor(0.8159, device='cuda:0')
tensor(0.7272, device='cuda:0')
tensor(0.8103, device='cuda:0')
tensor(1.4213, device='cuda:0')
tensor(1.0494, device='cuda:0')
tensor(1.0529, device='cuda:0')
tensor(0.8572, device='cuda:0')
tensor(0.7840, device='cuda:0')
tensor(0.7566, device='cuda:0')
tensor(0.9008, device='cuda:0')
tensor(0.7305, device='cuda:0')
tensor(0.8084, device='cuda:0')
tensor(0.9250, device='cuda:0')
tensor(0.8868, device='cuda:0')
tensor(0.8116, device='cuda:0')
tensor(0.4690, device='cuda:0')
tensor(1.0511, device='cuda:0')
tensor(0.8481, device='cuda:0')
tensor(1.1209, device='cuda:0')
tensor(1.7152, device='cuda:0')
tensor(1.2427, device='cuda:0')
tensor(1.6857, device='cuda:0')
tensor(1.1418, device='cuda:0')
tensor(0.8208, device='cuda:0')
tensor(1.6667, device='cuda:0')
tensor(1.4076, device='cuda:0')
tensor(0.6691, device='cuda:0')
tensor(0.8249, device='cuda:0')
tensor(1.0564, device='cuda:0')
tensor(0.7575, device='cuda:0')
tensor(0.7163, device='cuda:0')
tensor(0.6873, device='cuda:0')
tensor(0.6170, device='cuda:0')
tensor(0.6044, device='cuda:0')
tensor(1.1103, device='cuda:0')
tensor(0.6141, device='cuda:0')
tensor(0.8307, device='cuda:0')
tensor(1.1325, device='cuda:0')
tensor(1.2680, device='cuda:0')
tensor(1.0883, device='cuda:0')
tensor(1.0625, device='cuda:0')
tensor(1.2214, device='cuda:0')
tensor(1.3747, device='cuda:0')
tensor(1.0361, device='cuda:0')
tensor(0.8742, device='cuda:0')
tensor(0.8600, device='cuda:0')
tensor(0.6727, device='cuda:0')
tensor(0.9298, device='cuda:0')
tensor(1.4388, device='cuda:0')
tensor(0.4419, device='cuda:0')
tensor(0.4354, device='cuda:0')
tensor(0.6693, device='cuda:0')
tensor(0.4191, device='cuda:0')
tensor(0.6236, device='cuda:0')
tensor(0.5224, device='cuda:0')
tensor(0.4292, device='cuda:0')
tensor(0.6308, device='cuda:0')
tensor(0.4656, device='cuda:0')
tensor(0.6183, device='cuda:0')
tensor(0.7662, device='cuda:0')
tensor(0.4950, device='cuda:0')
tensor(0.6166, device='cuda:0')
tensor(0.6735, device='cuda:0')
tensor(0.7514, device='cuda:0')
tensor(0.7387, device='cuda:0')
tensor(1.2564, device='cuda:0')
tensor(0.6199, device='cuda:0')
tensor(1.2970, device='cuda:0')
tensor(1.3065, device='cuda:0')
tensor(1.3834, device='cuda:0')
tensor(1.2981, device='cuda:0')
tensor(0.9085, device='cuda:0')
tensor(1.1517, device='cuda:0')
tensor(1.1587, device='cuda:0')
tensor(1.0242, device='cuda:0')
tensor(1.1909, device='cuda:0')
tensor(0.9425, device='cuda:0')
tensor(1.1607, device='cuda:0')
tensor(1.2531, device='cuda:0')
tensor(1.2027, device='cuda:0')
tensor(1.4233, device='cuda:0')
tensor(1.2289, device='cuda:0')
tensor(1.0471, device='cuda:0')
tensor(1.2842, device='cuda:0')
tensor(1.5687, device='cuda:0')
tensor(1.3579, device='cuda:0')
tensor(1.0963, device='cuda:0')
tensor(1.1373, device='cuda:0')
tensor(1.0889, device='cuda:0')
tensor(0.8820, device='cuda:0')
tensor(0.9762, device='cuda:0')
tensor(1.0158, device='cuda:0')
tensor(0.7785, device='cuda:0')
tensor(0.7827, device='cuda:0')
tensor(1.1039, device='cuda:0')
tensor(1.4144, device='cuda:0')
tensor(1.4087, device='cuda:0')
tensor(0.9707, device='cuda:0')
tensor(0.9636, device='cuda:0')
tensor(0.8919, device='cuda:0')
tensor(0.9600, device='cuda:0')
tensor(1.0450, device='cuda:0')
tensor(1.0126, device='cuda:0')
tensor(0.9326, device='cuda:0')
tensor(0.7455, device='cuda:0')
tensor(0.8461, device='cuda:0')
tensor(0.9056, device='cuda:0')
tensor(0.9618, device='cuda:0')
tensor(0.8717, device='cuda:0')
tensor(0.9596, device='cuda:0')
tensor(0.8523, device='cuda:0')
tensor(0.9561, device='cuda:0')
tensor(0.8721, device='cuda:0')
tensor(0.7175, device='cuda:0')
tensor(0.9488, device='cuda:0')
tensor(1.0305, device='cuda:0')
tensor(0.8218, device='cuda:0')
tensor(0.7272, device='cuda:0')
tensor(0.5717, device='cuda:0')
tensor(0.6128, device='cuda:0')
tensor(0.6716, device='cuda:0')
tensor(0.6597, device='cuda:0')
tensor(0.5897, device='cuda:0')
tensor(0.7327, device='cuda:0')
tensor(0.6600, device='cuda:0')
tensor(0.7274, device='cuda:0')
tensor(1.6039, device='cuda:0')
tensor(1.3917, device='cuda:0')
tensor(1.8165, device='cuda:0')
tensor(1.1895, device='cuda:0')
tensor(1.0260, device='cuda:0')
tensor(1.1787, device='cuda:0')
tensor(1.1728, device='cuda:0')
tensor(1.0490, device='cuda:0')
tensor(1.0514, device='cuda:0')
tensor(0.9979, device='cuda:0')
tensor(1.2456, device='cuda:0')
tensor(1.0889, device='cuda:0')
tensor(1.1254, device='cuda:0')
tensor(1.1050, device='cuda:0')
tensor(1.1110, device='cuda:0')
tensor(1.2015, device='cuda:0')
tensor(1.0292, device='cuda:0')
tensor(1.1651, device='cuda:0')
tensor(1.3691, device='cuda:0')
tensor(1.0509, device='cuda:0')
tensor(0.9163, device='cuda:0')
tensor(1.2341, device='cuda:0')
tensor(1.1987, device='cuda:0')
tensor(1.0726, device='cuda:0')
tensor(1.1786, device='cuda:0')
tensor(0.9788, device='cuda:0')
tensor(1.2434, device='cuda:0')
tensor(1.0061, device='cuda:0')
tensor(1.4469, device='cuda:0')
tensor(1.2473, device='cuda:0')
tensor(0.9957, device='cuda:0')
tensor(1.0620, device='cuda:0')
tensor(1.0281, device='cuda:0')
tensor(1.1500, device='cuda:0')
tensor(1.1985, device='cuda:0')
tensor(1.3360, device='cuda:0')
tensor(1.0669, device='cuda:0')
tensor(0.9208, device='cuda:0')
tensor(0.9797, device='cuda:0')
tensor(1.2125, device='cuda:0')
tensor(1.6439, device='cuda:0')
tensor(1.2271, device='cuda:0')
tensor(1.2430, device='cuda:0')
tensor(0.9483, device='cuda:0')
tensor(0.8063, device='cuda:0')
tensor(0.9190, device='cuda:0')
tensor(0.8487, device='cuda:0')
tensor(0.7557, device='cuda:0')
tensor(0.9642, device='cuda:0')
tensor(0.9488, device='cuda:0')
tensor(1.1917, device='cuda:0')
tensor(0.9648, device='cuda:0')
tensor(1.1715, device='cuda:0')
tensor(1.5979, device='cuda:0')
tensor(1.0327, device='cuda:0')
tensor(1.1195, device='cuda:0')
tensor(1.1205, device='cuda:0')
tensor(1.0752, device='cuda:0')
tensor(1.0827, device='cuda:0')
tensor(0.8503, device='cuda:0')
tensor(1.0462, device='cuda:0')
tensor(0.9812, device='cuda:0')
tensor(0.7950, device='cuda:0')
tensor(1.1243, device='cuda:0')
tensor(0.8305, device='cuda:0')
tensor(0.9731, device='cuda:0')
tensor(0.9754, device='cuda:0')
tensor(0.6808, device='cuda:0')
tensor(0.6455, device='cuda:0')
tensor(0.2564, device='cuda:0')
tensor(0.6247, device='cuda:0')
tensor(1.1893, device='cuda:0')
tensor(0.6903, device='cuda:0')
tensor(0.5001, device='cuda:0')
tensor(0.8267, device='cuda:0')
tensor(1.0409, device='cuda:0')
tensor(1.1163, device='cuda:0')
tensor(0.8721, device='cuda:0')
tensor(0.9874, device='cuda:0')
tensor(0.8735, device='cuda:0')
tensor(0.9332, device='cuda:0')
tensor(0.6229, device='cuda:0')
tensor(0.9111, device='cuda:0')
tensor(1.5733, device='cuda:0')
tensor(1.1734, device='cuda:0')
tensor(1.2622, device='cuda:0')
tensor(1.1646, device='cuda:0')
tensor(1.2496, device='cuda:0')
tensor(1.0866, device='cuda:0')
tensor(1.2440, device='cuda:0')
tensor(1.2490, device='cuda:0')
tensor(1.4606, device='cuda:0')
tensor(1.0112, device='cuda:0')
tensor(1.1513, device='cuda:0')
tensor(0.8883, device='cuda:0')
tensor(0.9822, device='cuda:0')
tensor(0.9173, device='cuda:0')
tensor(0.9905, device='cuda:0')
tensor(0.9541, device='cuda:0')
tensor(0.8205, device='cuda:0')
tensor(1.2630, device='cuda:0')
tensor(1.1390, device='cuda:0')
tensor(1.2911, device='cuda:0')
tensor(1.0865, device='cuda:0')
tensor(1.2515, device='cuda:0')
tensor(0.8424, device='cuda:0')
tensor(1.2225, device='cuda:0')
tensor(0.9577, device='cuda:0')
tensor(1.2130, device='cuda:0')
tensor(1.2676, device='cuda:0')
tensor(1.1849, device='cuda:0')
tensor(1.4331, device='cuda:0')
tensor(1.5364, device='cuda:0')
tensor(1.7887, device='cuda:0')
tensor(1.2590, device='cuda:0')
tensor(0.8986, device='cuda:0')
tensor(1.1537, device='cuda:0')
tensor(0.9925, device='cuda:0')
tensor(1.2363, device='cuda:0')
tensor(1.5247, device='cuda:0')
tensor(0.8840, device='cuda:0')
tensor(0.9075, device='cuda:0')
tensor(1.1319, device='cuda:0')
tensor(1.1882, device='cuda:0')
tensor(1.0280, device='cuda:0')
tensor(1.3911, device='cuda:0')
tensor(1.0927, device='cuda:0')
tensor(0.9472, device='cuda:0')
tensor(0.7412, device='cuda:0')
tensor(0.8726, device='cuda:0')
tensor(0.8471, device='cuda:0')
tensor(0.7372, device='cuda:0')
tensor(0.7668, device='cuda:0')
tensor(0.8140, device='cuda:0')
tensor(0.5598, device='cuda:0')
tensor(0.7025, device='cuda:0')
tensor(0.7354, device='cuda:0')
tensor(1.0081, device='cuda:0')
tensor(1.0859, device='cuda:0')
tensor(0.7631, device='cuda:0')
tensor(0.9628, device='cuda:0')
tensor(0.7412, device='cuda:0')
tensor(0.7531, device='cuda:0')
tensor(1.2783, device='cuda:0')
tensor(1.2529, device='cuda:0')
tensor(0.9926, device='cuda:0')
tensor(0.9173, device='cuda:0')
tensor(1.1400, device='cuda:0')
tensor(0.8277, device='cuda:0')
tensor(1.1375, device='cuda:0')
tensor(0.8570, device='cuda:0')
tensor(0.9359, device='cuda:0')
tensor(0.8903, device='cuda:0')
tensor(1.5189, device='cuda:0')
tensor(1.4243, device='cuda:0')
tensor(1.0773, device='cuda:0')
tensor(0.9290, device='cuda:0')
tensor(0.5851, device='cuda:0')
tensor(0.5811, device='cuda:0')
tensor(0.5714, device='cuda:0')
tensor(1.1942, device='cuda:0')
tensor(1.2653, device='cuda:0')
tensor(1.3499, device='cuda:0')
tensor(1.1976, device='cuda:0')
tensor(1.2094, device='cuda:0')
tensor(1.1585, device='cuda:0')
tensor(1.2819, device='cuda:0')
tensor(1.1331, device='cuda:0')
tensor(1.3126, device='cuda:0')
tensor(1.6948, device='cuda:0')
tensor(1.4451, device='cuda:0')
tensor(1.1460, device='cuda:0')
tensor(1.5101, device='cuda:0')
tensor(1.3695, device='cuda:0')
tensor(1.1975, device='cuda:0')
tensor(0.7581, device='cuda:0')
tensor(0.7383, device='cuda:0')
tensor(0.9279, device='cuda:0')
tensor(1.0995, device='cuda:0')
tensor(0.8336, device='cuda:0')
tensor(0.8221, device='cuda:0')
tensor(0.8085, device='cuda:0')
tensor(0.5414, device='cuda:0')
tensor(1.7618, device='cuda:0')
tensor(1.2841, device='cuda:0')
tensor(0.7301, device='cuda:0')
tensor(0.6824, device='cuda:0')
tensor(0.5527, device='cuda:0')
tensor(0.5890, device='cuda:0')
tensor(1.0865, device='cuda:0')
tensor(0.6433, device='cuda:0')
tensor(0.7213, device='cuda:0')
tensor(0.7221, device='cuda:0')
tensor(0.9238, device='cuda:0')
tensor(0.7195, device='cuda:0')
tensor(0.7916, device='cuda:0')
tensor(0.8741, device='cuda:0')
tensor(0.8830, device='cuda:0')
tensor(0.7244, device='cuda:0')
tensor(0.9141, device='cuda:0')
tensor(1.0062, device='cuda:0')
tensor(1.2572, device='cuda:0')
tensor(0.6320, device='cuda:0')
tensor(0.8040, device='cuda:0')
tensor(0.5856, device='cuda:0')
tensor(1.6602, device='cuda:0')
tensor(1.3547, device='cuda:0')
tensor(0.6585, device='cuda:0')
tensor(0.7315, device='cuda:0')
tensor(2.1782, device='cuda:0')
tensor(1.4748, device='cuda:0')
tensor(1.1660, device='cuda:0')
tensor(1.2798, device='cuda:0')
tensor(1.6310, device='cuda:0')
tensor(1.4343, device='cuda:0')
tensor(1.4970, device='cuda:0')
tensor(1.2576, device='cuda:0')
tensor(1.0590, device='cuda:0')
tensor(1.1741, device='cuda:0')
tensor(1.0328, device='cuda:0')
tensor(1.0137, device='cuda:0')
tensor(1.0127, device='cuda:0')
tensor(0.6996, device='cuda:0')
tensor(0.9705, device='cuda:0')
tensor(1.0366, device='cuda:0')
tensor(1.0367, device='cuda:0')
tensor(1.0762, device='cuda:0')
tensor(0.9512, device='cuda:0')
tensor(0.9798, device='cuda:0')
tensor(0.9937, device='cuda:0')
tensor(0.8234, device='cuda:0')
tensor(1.0300, device='cuda:0')
tensor(1.2141, device='cuda:0')
tensor(1.1358, device='cuda:0')
tensor(1.2827, device='cuda:0')
tensor(1.1601, device='cuda:0')
tensor(1.2360, device='cuda:0')
tensor(1.2835, device='cuda:0')
tensor(1.2461, device='cuda:0')
tensor(1.1544, device='cuda:0')
tensor(1.3185, device='cuda:0')
